rows,columns,threads,time
5000,5000,8,0.300571
5000,5000,8,0.273729
5000,5000,8,0.262351
5000,5000,8,0.251502
5000,5000,8,0.267781
5000,5000,8,0.259024
5000,5000,8,0.249012
5000,5000,8,0.267054
5000,5000,8,0.281120
5000,5000,8,0.284291
5000,5000,8,0.258584
5000,5000,8,0.262354
5000,5000,8,0.264182
5000,5000,8,0.293275
5000,5000,8,0.259601
5000,5000,8,0.263036
5000,5000,8,0.264050
5000,5000,8,0.267104
5000,5000,8,0.270891
5000,5000,8,0.272460
5000,5000,8,0.275899
5000,5000,8,0.278920
5000,5000,8,0.281458
5000,5000,8,0.256830
5000,5000,8,0.260289
5000,5000,8,0.289998
5000,5000,8,0.278162
5000,5000,8,0.280066
5000,5000,8,0.283445
5000,5000,8,0.258083
5000,5000,8,0.260036
5000,5000,8,0.262950
5000,5000,8,0.266663
5000,5000,8,0.269201
5000,5000,8,0.271102
5000,5000,8,0.273188
5000,5000,8,0.276413
5000,5000,8,0.278739
5000,5000,8,0.281017
5000,5000,8,0.272961
5000,5000,8,0.276128
5000,5000,8,0.280297
5000,5000,8,0.281821
5000,5000,8,0.283237
5000,5000,8,0.298339
5000,5000,8,0.283439
5000,5000,8,0.294817
5000,5000,8,0.740623
5000,5000,8,0.277169
5000,5000,8,0.361204
5000,5000,8,0.283743
5000,5000,8,0.258168
5000,5000,8,0.261318
5000,5000,8,0.263234
5000,5000,8,0.266284
5000,5000,8,0.296740
5000,5000,8,0.285619
5000,5000,8,0.259869
5000,5000,8,0.263409
5000,5000,8,0.267391
5000,5000,8,0.269657
5000,5000,8,0.270760
5000,5000,8,0.263065
5000,5000,8,0.266069
5000,5000,8,0.268576
5000,5000,8,0.271886
5000,5000,8,0.274362
5000,5000,8,0.277734
5000,5000,8,0.281284
5000,5000,8,0.284830
5000,5000,8,0.258631
5000,5000,8,0.262245
5000,5000,8,0.265349
5000,5000,8,0.269372
5000,5000,8,0.268739
5000,5000,8,0.291109
5000,5000,8,0.277485
5000,5000,8,0.291967
5000,5000,8,0.276361
5000,5000,8,0.270616
5000,5000,8,0.273350
5000,5000,8,0.277871
5000,5000,8,0.278733
5000,5000,8,0.281765
5000,5000,8,0.285925
5000,5000,8,0.259311
5000,5000,8,0.288882
5000,5000,8,0.283364
5000,5000,8,0.257882
5000,5000,8,0.262216
5000,5000,8,0.264745
5000,5000,8,0.289331
5000,5000,8,0.275570
5000,5000,8,0.288528
5000,5000,8,0.273682
5000,5000,8,0.267068
5000,5000,8,0.271103
5000,5000,8,0.275225
5000,5000,8,0.278640
5000,5000,8,0.278777
