row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
20000,20000,0,2.324765,1.254618,2.749,3.673,0.924,100.00
20000,20000,0,2.133542,1.249791,2.649,3.478,0.828,99.99
20000,20000,0,2.127967,1.254960,2.619,3.479,0.860,99.99
20000,20000,0,2.126944,1.263091,2.638,3.486,0.847,99.99
20000,20000,0,2.124097,1.287950,2.660,3.509,0.848,99.99
20000,20000,0,2.126720,1.262807,2.581,3.486,0.904,99.99
20000,20000,0,2.119920,1.272204,2.607,3.486,0.880,99.99
20000,20000,0,2.136323,1.266110,2.666,3.499,0.833,99.99
20000,20000,0,2.124882,1.274196,2.605,3.493,0.888,99.99
20000,20000,0,2.124221,1.273568,2.620,3.492,0.872,99.99
20000,20000,0,2.132293,1.274954,2.635,3.503,0.868,99.99
20000,20000,0,2.141837,1.268375,2.743,3.506,0.764,99.99
20000,20000,0,2.130032,1.280167,2.663,3.503,0.841,99.99
20000,20000,0,2.120646,1.288026,2.754,3.505,0.751,100.00
20000,20000,0,2.129769,1.269015,2.626,3.495,0.869,99.99
20000,20000,0,2.128236,1.270647,2.606,3.494,0.887,99.99
20000,20000,0,2.132830,1.278090,2.576,3.504,0.928,99.99
20000,20000,0,2.130472,1.268633,2.598,3.495,0.897,99.98
20000,20000,0,2.133151,1.272103,2.690,3.501,0.811,99.99
20000,20000,0,2.132832,1.271936,2.560,3.500,0.940,99.99
20000,20000,0,2.124182,1.275014,2.658,3.494,0.836,99.99
20000,20000,0,2.127362,1.268571,2.600,3.492,0.892,99.99
20000,20000,0,2.135640,1.268601,2.712,3.501,0.788,99.99
20000,20000,0,2.130698,1.267961,2.647,3.495,0.848,99.99
20000,20000,0,2.133119,1.275570,2.659,3.504,0.844,99.97
20000,20000,0,2.122460,1.274798,2.710,3.491,0.781,99.99
20000,20000,0,2.130860,1.274192,2.678,3.501,0.823,99.99
20000,20000,0,2.141162,1.267957,2.601,3.505,0.904,99.99
20000,20000,0,2.129365,1.273917,2.643,3.499,0.856,99.99
20000,20000,0,2.123085,1.271494,2.685,3.490,0.804,99.99
20000,20000,0,2.126315,1.274858,2.728,3.496,0.768,99.99
20000,20000,0,2.126584,1.269814,2.632,3.493,0.860,99.98
20000,20000,0,2.133943,1.274166,2.655,3.503,0.848,99.99
20000,20000,0,2.128047,1.275251,2.597,3.497,0.900,99.99
20000,20000,0,2.138536,1.266782,2.602,3.501,0.899,99.99
20000,20000,0,2.129599,1.270313,2.602,3.495,0.892,99.98
20000,20000,0,2.135041,1.269731,2.593,3.501,0.908,99.99
20000,20000,0,2.133128,1.273960,2.666,3.501,0.835,99.99
20000,20000,0,2.129908,1.270788,2.619,3.496,0.877,99.99
20000,20000,0,2.134036,1.265546,2.616,3.496,0.880,99.99
20000,20000,0,2.134945,1.272190,2.638,3.502,0.863,99.99
20000,20000,0,2.134833,1.276443,2.640,3.504,0.864,99.99
20000,20000,0,2.125927,1.274121,2.646,3.494,0.848,99.99
20000,20000,0,2.131589,1.268178,2.652,3.496,0.844,99.99
20000,20000,0,2.130131,1.272505,2.564,3.496,0.932,99.99
20000,20000,0,2.147493,1.288294,2.706,3.529,0.823,99.99
20000,20000,0,2.137626,1.275768,2.652,3.509,0.856,99.99
20000,20000,0,2.136712,1.275070,2.721,3.506,0.784,99.98
20000,20000,0,2.133577,1.276376,2.623,3.503,0.880,99.99
20000,20000,0,2.125456,1.275751,2.603,3.494,0.891,99.99
20000,20000,0,2.130818,1.268542,2.650,3.495,0.845,99.99
20000,20000,0,2.142506,1.271110,2.648,3.508,0.860,99.99
20000,20000,0,2.137140,1.272495,2.696,3.504,0.808,100.00
20000,20000,0,2.136287,1.267380,2.648,3.500,0.852,99.99
20000,20000,0,2.130134,1.267123,2.674,3.493,0.819,99.99
20000,20000,0,2.133473,1.267881,2.653,3.495,0.840,99.97
20000,20000,0,2.130771,1.272419,2.714,3.498,0.783,99.99
20000,20000,0,2.134867,1.279201,2.718,3.507,0.789,99.99
20000,20000,0,2.128208,1.274570,2.598,3.497,0.899,99.99
20000,20000,0,2.144848,1.280703,2.670,3.519,0.849,99.98
20000,20000,0,2.146356,1.284372,2.624,3.524,0.900,100.00
20000,20000,0,2.132706,1.276396,2.731,3.502,0.772,99.99
20000,20000,0,2.131285,1.270921,2.646,3.498,0.853,99.99
20000,20000,0,2.129837,1.268417,2.635,3.494,0.860,99.99
20000,20000,0,2.129165,1.266903,2.652,3.492,0.840,99.99
20000,20000,0,2.132464,1.275410,2.645,3.501,0.856,99.99
20000,20000,0,2.131011,1.270112,2.677,3.497,0.820,99.99
20000,20000,0,2.138505,1.267548,2.665,3.502,0.837,99.99
20000,20000,0,2.134286,1.267044,2.693,3.497,0.804,99.99
20000,20000,0,2.125987,1.276068,2.643,3.495,0.852,99.99
20000,20000,0,2.124240,1.272986,2.655,3.491,0.836,99.99
20000,20000,0,2.130955,1.272477,2.609,3.498,0.888,99.96
20000,20000,0,2.125837,1.271888,2.701,3.493,0.791,99.99
20000,20000,0,2.134231,1.273657,2.593,3.502,0.908,99.99
20000,20000,0,2.130803,1.271194,2.628,3.496,0.868,99.99
20000,20000,0,2.130481,1.266341,2.624,3.493,0.868,99.98
20000,20000,0,2.125527,1.274541,2.687,3.498,0.806,99.87
20000,20000,0,2.131109,1.276824,2.661,3.501,0.840,99.99
20000,20000,0,2.130087,1.274954,2.631,3.499,0.868,99.99
20000,20000,0,2.134880,1.266986,2.621,3.498,0.876,99.99
20000,20000,0,2.121804,1.265889,2.704,3.484,0.780,99.99
20000,20000,0,2.127779,1.275488,2.601,3.497,0.896,99.99
20000,20000,0,2.124170,1.276275,2.562,3.494,0.931,99.99
20000,20000,0,2.137560,1.276914,2.660,3.508,0.848,99.99
20000,20000,0,2.128752,1.266453,2.650,3.491,0.841,99.99
20000,20000,0,2.129182,1.273932,2.710,3.497,0.787,99.99
20000,20000,0,2.123814,1.275961,2.709,3.493,0.784,99.99
20000,20000,0,2.129561,1.268514,2.605,3.494,0.888,99.97
20000,20000,0,2.124412,1.267591,2.628,3.488,0.860,99.99
20000,20000,0,2.137092,1.269325,2.599,3.503,0.904,99.99
20000,20000,0,2.125712,1.267087,2.629,3.489,0.860,99.99
20000,20000,0,2.133398,1.272004,2.608,3.501,0.892,99.99
20000,20000,0,2.125356,1.272275,2.624,3.492,0.868,99.99
20000,20000,0,2.141968,1.271296,2.700,3.508,0.808,99.99
20000,20000,0,2.138681,1.287851,2.691,3.523,0.832,99.99
20000,20000,0,2.143629,1.276824,2.629,3.514,0.884,99.99
20000,20000,0,2.127131,1.275303,2.604,3.496,0.892,99.99
