row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
5000,5000,32,0.196374,0.067962,0.167,0.051,0.110,540.59
5000,5000,32,0.202004,0.066420,0.142,0.049,0.138,574.82
5000,5000,32,0.198719,0.067913,0.167,0.047,0.111,587.94
5000,5000,32,0.192910,0.063234,0.140,0.049,0.128,549.86
5000,5000,32,0.191094,0.066793,0.137,0.046,0.132,588.25
5000,5000,32,0.192435,0.067353,0.140,0.049,0.132,558.44
5000,5000,32,0.201582,0.066748,0.137,0.050,0.145,567.79
5000,5000,32,0.200263,0.067049,0.146,0.049,0.134,567.76
5000,5000,32,0.203203,0.066738,0.145,0.048,0.137,585.00
5000,5000,32,0.203248,0.067493,0.170,0.049,0.112,574.15
5000,5000,32,0.195580,0.068454,0.140,0.050,0.136,550.88
5000,5000,32,0.201499,0.067231,0.134,0.048,0.146,578.55
5000,5000,32,0.199936,0.069415,0.175,0.049,0.106,573.12
5000,5000,32,0.200602,0.067588,0.150,0.049,0.130,573.37
5000,5000,32,0.198166,0.066509,0.134,0.049,0.142,563.54
5000,5000,32,0.203431,0.065241,0.153,0.049,0.127,570.34
5000,5000,32,0.193872,0.071144,0.150,0.050,0.127,555.84
5000,5000,32,0.202339,0.069292,0.166,0.047,0.117,600.18
5000,5000,32,0.198177,0.068462,0.139,0.048,0.139,576.67
5000,5000,32,0.202502,0.067486,0.174,0.051,0.108,550.46
5000,5000,32,0.203552,0.065544,0.139,0.048,0.142,580.93
5000,5000,32,0.198842,0.068416,0.163,0.048,0.117,579.94
5000,5000,32,0.201495,0.066746,0.140,0.051,0.140,546.74
5000,5000,32,0.201598,0.067604,0.164,0.048,0.117,582.00
5000,5000,32,0.200554,0.064682,0.167,0.049,0.110,567.29
5000,5000,32,0.198724,0.068399,0.129,0.049,0.150,570.84
5000,5000,32,0.201291,0.068188,0.151,0.049,0.130,572.28
5000,5000,32,0.202849,0.066814,0.149,0.049,0.133,570.92
5000,5000,32,0.207342,0.069206,0.148,0.053,0.140,548.86
5000,5000,32,0.212033,0.067207,0.147,0.053,0.147,551.82
5000,5000,32,0.210250,0.070262,0.186,0.051,0.106,573.76
5000,5000,32,0.212781,0.069555,0.168,0.051,0.127,573.03
5000,5000,32,0.212066,0.069568,0.136,0.052,0.159,572.88
5000,5000,32,0.209314,0.071519,0.153,0.051,0.140,572.25
5000,5000,32,0.212896,0.069608,0.179,0.051,0.116,580.60
5000,5000,32,0.211906,0.068631,0.167,0.054,0.126,545.68
5000,5000,32,0.210417,0.072105,0.156,0.050,0.139,589.67
5000,5000,32,0.209578,0.069463,0.159,0.050,0.133,577.92
5000,5000,32,0.209317,0.069935,0.174,0.051,0.117,570.98
5000,5000,32,0.210662,0.070105,0.148,0.050,0.144,587.12
5000,5000,32,0.208532,0.070900,0.160,0.053,0.132,555.69
5000,5000,32,0.211279,0.066568,0.152,0.052,0.138,559.86
5000,5000,32,0.209405,0.071365,0.169,0.051,0.126,577.99
5000,5000,32,0.207762,0.065470,0.132,0.051,0.156,562.23
