row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
5000,5000,0,0.072548,0.021138,0.036,0.100,0.064,100.04
5000,5000,0,0.072546,0.021079,0.040,0.100,0.060,100.03
5000,5000,0,0.072507,0.021058,0.052,0.100,0.048,100.03
5000,5000,0,0.072430,0.021096,0.048,0.100,0.052,100.03
5000,5000,0,0.072731,0.020974,0.044,0.100,0.056,100.02
5000,5000,0,0.072651,0.021116,0.028,0.100,0.072,100.04
5000,5000,0,0.072753,0.021062,0.036,0.100,0.064,100.05
5000,5000,0,0.072409,0.021099,0.044,0.100,0.056,100.05
5000,5000,0,0.072681,0.021080,0.044,0.100,0.056,100.04
5000,5000,0,0.073765,0.021670,0.053,0.102,0.049,100.04
5000,5000,0,0.075389,0.021702,0.044,0.104,0.060,100.04
5000,5000,0,0.073755,0.021087,0.045,0.101,0.057,100.05
5000,5000,0,0.072703,0.021084,0.052,0.100,0.048,100.04
5000,5000,0,0.072409,0.021054,0.056,0.100,0.044,100.01
5000,5000,0,0.072696,0.021093,0.048,0.100,0.052,100.05
5000,5000,0,0.072479,0.021100,0.052,0.100,0.048,100.05
5000,5000,0,0.072687,0.021102,0.036,0.100,0.064,100.04
5000,5000,0,0.072459,0.021084,0.056,0.100,0.044,100.03
5000,5000,0,0.072762,0.021091,0.044,0.100,0.056,100.05
5000,5000,0,0.072676,0.021105,0.040,0.100,0.060,100.04
5000,5000,0,0.072821,0.021075,0.052,0.100,0.048,100.03
5000,5000,0,0.072732,0.021278,0.040,0.101,0.060,100.04
5000,5000,0,0.072830,0.021100,0.039,0.101,0.062,99.95
5000,5000,0,0.072642,0.021580,0.032,0.101,0.069,99.98
5000,5000,0,0.072462,0.021079,0.032,0.100,0.068,100.04
5000,5000,0,0.072660,0.021498,0.045,0.101,0.056,100.04
5000,5000,0,0.073917,0.022175,0.060,0.103,0.044,100.04
5000,5000,0,0.074933,0.022297,0.040,0.104,0.064,100.04
5000,5000,0,0.074137,0.021586,0.041,0.102,0.061,100.05
5000,5000,0,0.072432,0.021578,0.040,0.101,0.060,100.01
5000,5000,0,0.072665,0.021556,0.049,0.101,0.052,100.04
5000,5000,0,0.072479,0.021542,0.043,0.101,0.058,100.03
5000,5000,0,0.072705,0.021535,0.039,0.101,0.062,100.07
5000,5000,0,0.072467,0.021446,0.044,0.101,0.056,100.04
5000,5000,0,0.072679,0.021550,0.053,0.101,0.048,100.04
5000,5000,0,0.072435,0.021532,0.044,0.101,0.056,100.04
5000,5000,0,0.072616,0.021588,0.049,0.101,0.052,100.04
5000,5000,0,0.072383,0.021545,0.044,0.101,0.056,100.04
5000,5000,0,0.072731,0.021601,0.053,0.101,0.048,100.05
5000,5000,0,0.072055,0.021075,0.052,0.100,0.048,99.56
5000,5000,0,0.071615,0.021032,0.044,0.099,0.056,100.04
5000,5000,0,0.071990,0.021062,0.040,0.100,0.060,100.03
5000,5000,0,0.071876,0.021000,0.044,0.099,0.056,100.04
5000,5000,0,0.072357,0.021340,0.048,0.100,0.052,100.04
5000,5000,0,0.071905,0.021458,0.044,0.100,0.056,100.04
5000,5000,0,0.073808,0.022118,0.054,0.103,0.049,100.02
5000,5000,0,0.074598,0.022097,0.041,0.104,0.062,100.02
5000,5000,0,0.073009,0.021034,0.039,0.101,0.062,100.04
5000,5000,0,0.072337,0.021475,0.047,0.101,0.054,100.03
5000,5000,0,0.072599,0.021459,0.048,0.101,0.052,100.04
5000,5000,0,0.072357,0.021528,0.052,0.101,0.048,100.04
5000,5000,0,0.072204,0.021535,0.044,0.101,0.056,99.79
5000,5000,0,0.072297,0.021102,0.044,0.100,0.056,100.04
5000,5000,0,0.072384,0.021082,0.040,0.100,0.060,100.04
5000,5000,0,0.072343,0.021051,0.060,0.100,0.040,100.05
5000,5000,0,0.072346,0.021013,0.048,0.100,0.052,100.05
5000,5000,0,0.072028,0.021042,0.048,0.100,0.052,100.04
5000,5000,0,0.072146,0.021023,0.033,0.100,0.067,100.04
5000,5000,0,0.071982,0.021066,0.060,0.100,0.040,100.04
5000,5000,0,0.071930,0.021094,0.044,0.100,0.056,100.04
5000,5000,0,0.072196,0.021063,0.076,0.100,0.024,100.04
5000,5000,0,0.071951,0.021058,0.044,0.100,0.056,100.04
5000,5000,0,0.072145,0.021060,0.040,0.100,0.060,100.04
5000,5000,0,0.071908,0.021025,0.040,0.100,0.060,100.04
5000,5000,0,0.071935,0.021032,0.042,0.100,0.058,100.03
5000,5000,0,0.072048,0.021256,0.040,0.100,0.060,100.04
5000,5000,0,0.072050,0.021124,0.036,0.100,0.064,100.04
5000,5000,0,0.072151,0.021008,0.056,0.100,0.044,100.07
5000,5000,0,0.072081,0.021062,0.044,0.100,0.056,100.04
5000,5000,0,0.072052,0.021057,0.056,0.100,0.044,100.04
5000,5000,0,0.073517,0.021620,0.053,0.102,0.049,100.03
5000,5000,0,0.074584,0.021726,0.048,0.103,0.055,100.04
5000,5000,0,0.074326,0.021628,0.036,0.103,0.067,100.05
5000,5000,0,0.073263,0.021023,0.036,0.101,0.064,100.04
5000,5000,0,0.071964,0.021077,0.044,0.100,0.056,100.03
5000,5000,0,0.072085,0.021047,0.044,0.100,0.056,100.04
5000,5000,0,0.071892,0.021023,0.058,0.100,0.041,100.04
5000,5000,0,0.072068,0.021067,0.052,0.100,0.048,100.04
5000,5000,0,0.072163,0.021017,0.048,0.100,0.052,100.03
5000,5000,0,0.072123,0.021058,0.056,0.100,0.044,100.03
5000,5000,0,0.072150,0.021074,0.048,0.100,0.052,100.03
5000,5000,0,0.072051,0.021050,0.056,0.100,0.044,100.04
5000,5000,0,0.072056,0.021031,0.068,0.100,0.032,100.03
5000,5000,0,0.072100,0.021036,0.036,0.100,0.064,100.04
5000,5000,0,0.071898,0.021022,0.037,0.100,0.062,100.03
5000,5000,0,0.072128,0.021050,0.056,0.100,0.044,100.03
5000,5000,0,0.071943,0.021043,0.052,0.100,0.048,100.08
5000,5000,0,0.072187,0.021036,0.036,0.100,0.064,100.05
5000,5000,0,0.072136,0.021181,0.052,0.100,0.048,100.07
5000,5000,0,0.071911,0.021039,0.056,0.100,0.044,100.03
5000,5000,0,0.072020,0.021042,0.048,0.100,0.052,100.03
5000,5000,0,0.072101,0.021027,0.054,0.100,0.046,100.05
5000,5000,0,0.071899,0.021058,0.056,0.100,0.044,100.04
5000,5000,0,0.072175,0.021027,0.048,0.100,0.052,100.05
5000,5000,0,0.072008,0.020938,0.048,0.100,0.052,100.03
5000,5000,0,0.072154,0.021008,0.052,0.100,0.048,100.04
5000,5000,0,0.071931,0.021074,0.032,0.100,0.068,100.04
5000,5000,0,0.072059,0.021047,0.052,0.100,0.048,100.03
5000,5000,0,0.071918,0.021019,0.037,0.100,0.062,100.04
5000,5000,0,0.072154,0.021486,0.039,0.101,0.062,99.83
5000,5000,0,0.072196,0.021588,0.059,0.101,0.042,99.58
5000,5000,0,0.072193,0.021478,0.048,0.101,0.052,99.82
5000,5000,0,0.071973,0.021082,0.048,0.100,0.052,99.77
5000,5000,0,0.071783,0.021054,0.040,0.100,0.060,99.78
5000,5000,0,0.071884,0.021067,0.044,0.100,0.056,99.77
5000,5000,0,0.072196,0.021501,0.044,0.101,0.056,99.79
5000,5000,0,0.072172,0.021500,0.040,0.101,0.060,99.77
5000,5000,0,0.072214,0.021531,0.044,0.101,0.056,99.79
5000,5000,0,0.071752,0.021070,0.054,0.100,0.045,99.60
5000,5000,0,0.072124,0.021484,0.044,0.101,0.056,99.79
5000,5000,0,0.071739,0.021074,0.044,0.100,0.056,99.77
5000,5000,0,0.071785,0.021025,0.048,0.100,0.052,99.78
5000,5000,0,0.072066,0.021067,0.052,0.100,0.048,99.50
5000,5000,0,0.072066,0.021064,0.044,0.100,0.056,99.63
5000,5000,0,0.072274,0.021028,0.052,0.100,0.048,100.05
5000,5000,0,0.072123,0.021030,0.033,0.100,0.067,99.74
5000,5000,0,0.072098,0.021049,0.040,0.100,0.060,99.82
5000,5000,0,0.072499,0.021291,0.050,0.102,0.050,98.46
5000,5000,0,0.071963,0.021000,0.033,0.100,0.066,99.80
5000,5000,0,0.072022,0.021071,0.044,0.100,0.056,99.72
5000,5000,0,0.072038,0.021055,0.036,0.100,0.064,99.82
5000,5000,0,0.072127,0.021011,0.050,0.100,0.050,99.70
5000,5000,0,0.071934,0.021018,0.052,0.100,0.048,99.81
