row,columns,threads,user,elapsed,sys,pCPU
8000,8000,8,0.62,0.12,0.33,749%
8000,8000,8,0.57,0.11,0.31,760%
8000,8000,8,0.55,0.12,0.35,754%
8000,8000,8,0.52,0.11,0.36,757%
8000,8000,8,0.57,0.11,0.32,756%
8000,8000,8,0.53,0.11,0.35,756%
8000,8000,8,0.57,0.11,0.31,759%
8000,8000,8,0.55,0.12,0.34,754%
8000,8000,8,0.54,0.12,0.36,756%
8000,8000,8,0.52,0.12,0.38,756%
8000,8000,8,0.55,0.12,0.37,760%
8000,8000,8,0.53,0.11,0.36,756%
8000,8000,8,0.58,0.12,0.34,751%
8000,8000,8,0.57,0.12,0.36,755%
8000,8000,8,0.56,0.11,0.34,759%
8000,8000,8,0.58,0.12,0.33,757%
8000,8000,8,0.57,0.12,0.38,755%
8000,8000,8,0.56,0.11,0.34,758%
8000,8000,8,0.53,0.12,0.38,755%
8000,8000,8,0.61,0.12,0.33,757%
8000,8000,8,0.53,0.11,0.36,757%
8000,8000,8,0.55,0.12,0.37,757%
8000,8000,8,0.54,0.12,0.40,759%
8000,8000,8,0.53,0.11,0.36,759%
8000,8000,8,0.58,0.12,0.33,754%
8000,8000,8,0.56,0.12,0.38,758%
8000,8000,8,0.50,0.11,0.39,754%
8000,8000,8,0.58,0.12,0.32,754%
8000,8000,8,0.56,0.12,0.37,759%
8000,8000,8,0.49,0.11,0.39,759%
8000,8000,8,0.52,0.12,0.37,751%
8000,8000,8,0.55,0.12,0.37,758%
8000,8000,8,0.52,0.11,0.37,756%
8000,8000,8,0.51,0.11,0.38,756%
8000,8000,8,0.57,0.12,0.35,758%
8000,8000,8,0.53,0.11,0.35,756%
8000,8000,8,0.55,0.11,0.35,756%
8000,8000,8,0.53,0.11,0.36,757%
8000,8000,8,0.54,0.12,0.38,757%
8000,8000,8,0.55,0.11,0.33,757%
8000,8000,8,0.52,0.12,0.38,757%
8000,8000,8,0.56,0.11,0.34,758%
8000,8000,8,0.56,0.12,0.36,756%
8000,8000,8,0.51,0.11,0.37,760%
8000,8000,8,0.50,0.12,0.39,755%
8000,8000,8,0.55,0.12,0.38,756%
8000,8000,8,0.55,0.11,0.33,761%
8000,8000,8,0.56,0.12,0.34,757%
8000,8000,8,0.57,0.12,0.37,757%
8000,8000,8,0.54,0.11,0.35,759%
8000,8000,8,0.55,0.12,0.36,758%
8000,8000,8,0.60,0.12,0.34,759%
8000,8000,8,0.54,0.11,0.35,757%
8000,8000,8,0.59,0.12,0.32,756%
8000,8000,8,0.60,0.12,0.31,757%
8000,8000,8,0.57,0.12,0.36,759%
8000,8000,8,0.53,0.11,0.35,755%
8000,8000,8,0.51,0.12,0.39,755%
8000,8000,8,0.56,0.12,0.38,758%
8000,8000,8,0.52,0.11,0.36,754%
8000,8000,8,0.55,0.12,0.36,753%
8000,8000,8,0.53,0.12,0.40,755%
8000,8000,8,0.55,0.11,0.33,755%
8000,8000,8,0.52,0.12,0.38,755%
8000,8000,8,0.56,0.12,0.38,757%
8000,8000,8,0.57,0.11,0.31,757%
8000,8000,8,0.53,0.12,0.38,759%
8000,8000,8,0.54,0.12,0.40,756%
8000,8000,8,0.56,0.11,0.34,757%
8000,8000,8,0.57,0.12,0.33,756%
8000,8000,8,0.57,0.12,0.37,758%
8000,8000,8,0.54,0.11,0.36,757%
8000,8000,8,0.58,0.12,0.32,757%
8000,8000,8,0.56,0.12,0.38,759%
8000,8000,8,0.48,0.12,0.42,753%
8000,8000,8,0.54,0.12,0.36,754%
8000,8000,8,0.60,0.12,0.31,758%
8000,8000,8,0.59,0.12,0.35,757%
8000,8000,8,0.56,0.12,0.34,755%
8000,8000,8,0.56,0.12,0.36,755%
8000,8000,8,0.55,0.12,0.36,757%
8000,8000,8,0.57,0.12,0.37,755%
8000,8000,8,0.56,0.11,0.34,759%
8000,8000,8,0.54,0.12,0.36,755%
8000,8000,8,0.57,0.12,0.37,756%
8000,8000,8,0.51,0.11,0.38,758%
8000,8000,8,0.55,0.12,0.35,755%
8000,8000,8,0.56,0.12,0.38,759%
8000,8000,8,0.54,0.12,0.36,754%
8000,8000,8,0.51,0.12,0.40,757%
8000,8000,8,0.56,0.12,0.35,757%
8000,8000,8,0.54,0.12,0.40,756%
8000,8000,8,0.53,0.12,0.37,755%
8000,8000,8,0.56,0.12,0.36,755%
8000,8000,8,0.59,0.12,0.32,757%
8000,8000,8,0.59,0.12,0.35,756%
8000,8000,8,0.58,0.11,0.32,757%
8000,8000,8,0.58,0.12,0.33,756%
8000,8000,8,0.59,0.12,0.34,755%
8000,8000,8,0.49,0.11,0.39,755%
8000,8000,8,0.54,0.11,0.35,759%
8000,8000,8,0.58,0.12,0.32,755%
8000,8000,8,0.60,0.12,0.34,756%
8000,8000,8,0.55,0.11,0.34,760%
8000,8000,8,0.54,0.12,0.37,757%
