row,columns,threads,user,elapsed,sys,pCPU
10000,10000,8,0.91,0.20,0.57,717%
10000,10000,8,0.82,0.19,0.54,719%
10000,10000,8,0.83,0.19,0.53,718%
10000,10000,8,0.85,0.19,0.53,719%
10000,10000,8,0.84,0.19,0.53,718%
10000,10000,8,0.83,0.19,0.54,718%
10000,10000,8,0.85,0.19,0.54,718%
10000,10000,8,0.80,0.19,0.57,720%
10000,10000,8,0.80,0.19,0.58,721%
10000,10000,8,0.81,0.19,0.59,721%
10000,10000,8,0.81,0.19,0.56,718%
10000,10000,8,0.82,0.19,0.55,719%
10000,10000,8,0.81,0.19,0.57,720%
10000,10000,8,0.82,0.19,0.55,720%
10000,10000,8,0.83,0.19,0.54,720%
10000,10000,8,0.88,0.19,0.50,719%
10000,10000,8,0.88,0.19,0.50,718%
10000,10000,8,0.79,0.19,0.59,720%
10000,10000,8,0.85,0.19,0.54,719%
10000,10000,8,0.93,0.20,0.55,714%
10000,10000,8,0.88,0.19,0.48,719%
10000,10000,8,0.78,0.19,0.59,719%
10000,10000,8,0.80,0.19,0.56,719%
10000,10000,8,0.82,0.19,0.55,719%
10000,10000,8,0.81,0.19,0.57,719%
10000,10000,8,0.79,0.19,0.58,718%
10000,10000,8,0.84,0.19,0.53,719%
10000,10000,8,0.87,0.19,0.51,719%
10000,10000,8,0.83,0.19,0.54,717%
10000,10000,8,0.81,0.19,0.55,717%
10000,10000,8,0.84,0.19,0.54,717%
10000,10000,8,0.87,0.19,0.51,722%
10000,10000,8,0.85,0.19,0.53,719%
10000,10000,8,0.86,0.19,0.52,721%
10000,10000,8,0.78,0.19,0.60,719%
10000,10000,8,0.85,0.19,0.53,721%
10000,10000,8,0.89,0.19,0.49,720%
10000,10000,8,0.82,0.19,0.56,718%
10000,10000,8,0.84,0.19,0.54,719%
10000,10000,8,0.81,0.19,0.57,720%
10000,10000,8,0.82,0.19,0.56,721%
10000,10000,8,0.83,0.19,0.56,721%
10000,10000,8,0.83,0.19,0.55,720%
10000,10000,8,0.89,0.19,0.50,721%
10000,10000,8,0.80,0.19,0.58,722%
10000,10000,8,0.86,0.19,0.53,721%
10000,10000,8,0.80,0.19,0.58,718%
10000,10000,8,0.84,0.19,0.54,721%
10000,10000,8,0.84,0.19,0.54,720%
10000,10000,8,0.81,0.19,0.57,719%
10000,10000,8,0.83,0.19,0.55,719%
10000,10000,8,0.82,0.19,0.56,721%
10000,10000,8,0.82,0.19,0.56,720%
10000,10000,8,0.82,0.19,0.56,721%
10000,10000,8,0.82,0.19,0.56,721%
10000,10000,8,0.83,0.19,0.55,720%
10000,10000,8,0.85,0.19,0.56,719%
10000,10000,8,0.80,0.19,0.57,718%
10000,10000,8,0.83,0.19,0.55,719%
10000,10000,8,0.86,0.19,0.52,720%
10000,10000,8,0.77,0.19,0.61,720%
10000,10000,8,0.85,0.19,0.53,720%
10000,10000,8,0.82,0.19,0.56,720%
10000,10000,8,0.81,0.19,0.57,720%
10000,10000,8,0.82,0.19,0.57,722%
10000,10000,8,0.85,0.19,0.53,719%
10000,10000,8,0.83,0.19,0.57,719%
10000,10000,8,0.84,0.19,0.54,719%
10000,10000,8,0.85,0.19,0.53,720%
10000,10000,8,0.85,0.19,0.55,717%
10000,10000,8,0.83,0.19,0.55,718%
10000,10000,8,0.90,0.19,0.48,721%
10000,10000,8,0.86,0.19,0.54,721%
10000,10000,8,0.82,0.19,0.57,721%
10000,10000,8,0.83,0.19,0.55,719%
10000,10000,8,0.88,0.19,0.52,721%
10000,10000,8,0.84,0.19,0.54,721%
10000,10000,8,0.86,0.19,0.52,721%
10000,10000,8,0.87,0.19,0.53,718%
10000,10000,8,0.83,0.19,0.55,720%
10000,10000,8,0.80,0.19,0.58,718%
10000,10000,8,0.85,0.19,0.55,718%
10000,10000,8,0.86,0.19,0.52,720%
10000,10000,8,0.80,0.19,0.58,718%
10000,10000,8,0.83,0.19,0.57,719%
10000,10000,8,0.80,0.19,0.58,718%
10000,10000,8,0.85,0.19,0.54,721%
10000,10000,8,0.86,0.19,0.53,719%
10000,10000,8,0.87,0.19,0.51,718%
10000,10000,8,0.84,0.19,0.54,720%
10000,10000,8,0.80,0.19,0.58,719%
10000,10000,8,0.84,0.19,0.54,719%
10000,10000,8,0.81,0.19,0.55,717%
10000,10000,8,0.87,0.19,0.51,718%
10000,10000,8,0.80,0.19,0.58,719%
10000,10000,8,0.80,0.19,0.57,718%
10000,10000,8,0.81,0.19,0.57,719%
10000,10000,8,0.81,0.19,0.56,718%
10000,10000,8,0.83,0.19,0.54,718%
10000,10000,8,0.80,0.19,0.57,717%
10000,10000,8,0.86,0.19,0.51,720%
10000,10000,8,0.82,0.19,0.55,716%
10000,10000,8,0.78,0.19,0.59,720%
10000,10000,8,0.78,0.19,0.59,718%
10000,10000,8,0.79,0.19,0.59,718%
10000,10000,8,0.87,0.19,0.51,720%
10000,10000,8,0.85,0.19,0.52,719%
10000,10000,8,0.86,0.19,0.51,717%
10000,10000,8,0.78,0.19,0.59,718%
10000,10000,8,0.79,0.19,0.58,720%
10000,10000,8,0.84,0.19,0.54,719%
10000,10000,8,0.81,0.19,0.56,720%
10000,10000,8,0.75,0.19,0.63,720%
10000,10000,8,0.85,0.19,0.54,718%
10000,10000,8,0.81,0.19,0.57,720%
10000,10000,8,0.81,0.19,0.57,719%
