row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
20000,20000,0,2.333665,1.262800,2.797,3.690,0.892,100.00
20000,20000,0,2.133577,1.247207,2.568,3.477,0.908,99.99
20000,20000,0,2.138386,1.268724,2.688,3.501,0.812,99.99
20000,20000,0,2.139126,1.267201,2.625,3.501,0.876,99.99
20000,20000,0,2.134455,1.268308,2.682,3.497,0.815,99.99
20000,20000,0,2.142582,1.287636,2.642,3.523,0.881,99.99
20000,20000,0,2.132021,1.280194,2.638,3.505,0.867,100.00
20000,20000,0,2.134674,1.275054,2.628,3.504,0.876,99.98
20000,20000,0,2.134306,1.274405,2.711,3.503,0.793,99.99
20000,20000,0,2.143112,1.270735,2.625,3.509,0.883,99.99
20000,20000,0,2.146899,1.267610,2.554,3.511,0.957,99.99
20000,20000,0,2.149948,1.270082,2.664,3.515,0.852,99.99
20000,20000,0,2.141726,1.273006,2.641,3.509,0.868,99.99
20000,20000,0,2.133510,1.274910,2.636,3.504,0.868,99.99
20000,20000,0,2.139722,1.269748,2.545,3.505,0.960,99.99
20000,20000,0,2.133027,1.275259,2.570,3.502,0.931,99.99
20000,20000,0,2.138590,1.267725,2.646,3.502,0.857,99.99
20000,20000,0,2.142429,1.271821,2.622,3.509,0.887,99.99
20000,20000,0,2.147854,1.268266,2.628,3.512,0.884,99.99
20000,20000,0,2.140216,1.276608,2.670,3.510,0.840,99.99
20000,20000,0,2.129584,1.275408,2.656,3.500,0.844,99.99
20000,20000,0,2.139670,1.268600,2.608,3.504,0.896,99.99
20000,20000,0,2.145483,1.267707,2.625,3.509,0.884,99.99
20000,20000,0,2.145328,1.267457,2.697,3.509,0.812,99.99
20000,20000,0,2.130136,1.278002,2.658,3.501,0.843,99.99
20000,20000,0,2.141602,1.269401,2.666,3.507,0.841,99.99
20000,20000,0,2.141848,1.273105,2.646,3.509,0.863,99.99
20000,20000,0,2.149561,1.268540,2.662,3.514,0.852,99.99
20000,20000,0,2.135030,1.273362,2.679,3.504,0.824,99.97
20000,20000,0,2.137353,1.269461,2.687,3.503,0.816,99.99
20000,20000,0,2.133969,1.275891,2.667,3.503,0.836,99.99
20000,20000,0,2.142021,1.270891,2.693,3.509,0.816,99.99
20000,20000,0,2.144938,1.272886,2.613,3.514,0.900,99.98
20000,20000,0,2.140553,1.275925,2.527,3.510,0.983,99.99
20000,20000,0,2.141943,1.271810,2.621,3.509,0.888,99.99
20000,20000,0,2.137146,1.275205,2.545,3.506,0.960,99.99
20000,20000,0,2.143437,1.274070,2.657,3.513,0.855,99.99
20000,20000,0,2.142574,1.268442,2.626,3.507,0.881,99.99
20000,20000,0,2.133511,1.277337,2.668,3.504,0.836,100.00
20000,20000,0,2.135566,1.275649,2.676,3.504,0.828,99.99
20000,20000,0,2.140287,1.274605,2.616,3.508,0.892,99.99
20000,20000,0,2.140030,1.268948,2.658,3.505,0.847,99.99
20000,20000,0,2.142248,1.267862,2.701,3.506,0.804,99.99
20000,20000,0,2.141541,1.273151,2.681,3.509,0.828,99.99
20000,20000,0,2.144246,1.276798,2.699,3.514,0.816,99.99
20000,20000,0,2.141008,1.288205,2.625,3.525,0.900,100.00
20000,20000,0,2.145833,1.288291,2.699,3.530,0.832,99.99
20000,20000,0,2.134205,1.288069,2.726,3.518,0.792,99.99
20000,20000,0,2.134779,1.287088,2.603,3.515,0.912,99.99
20000,20000,0,2.128705,1.276198,2.571,3.498,0.927,99.99
20000,20000,0,2.136996,1.273941,2.617,3.506,0.888,99.99
20000,20000,0,2.141902,1.267858,2.697,3.506,0.808,99.99
20000,20000,0,2.138612,1.276231,2.661,3.509,0.847,99.96
20000,20000,0,2.143489,1.292520,2.676,3.532,0.856,99.99
20000,20000,0,2.148489,1.286370,2.580,3.528,0.948,99.99
20000,20000,0,2.138280,1.274963,2.590,3.507,0.917,99.99
20000,20000,0,2.140582,1.268350,2.693,3.505,0.811,99.99
20000,20000,0,2.162160,1.274696,2.634,3.531,0.897,99.99
20000,20000,0,2.141805,1.286397,2.681,3.521,0.839,99.97
20000,20000,0,2.134510,1.277725,2.646,3.505,0.859,99.99
20000,20000,0,2.139500,1.269653,2.632,3.504,0.872,99.99
20000,20000,0,2.139086,1.283176,2.687,3.515,0.828,99.99
20000,20000,0,2.135782,1.288440,2.649,3.517,0.868,99.99
20000,20000,0,2.141895,1.277515,2.680,3.513,0.832,99.98
20000,20000,0,2.140607,1.272166,2.632,3.508,0.876,99.99
20000,20000,0,2.132020,1.270914,2.663,3.499,0.835,99.98
20000,20000,0,2.144541,1.272607,2.696,3.512,0.816,99.99
20000,20000,0,2.144026,1.267636,2.671,3.508,0.837,99.98
20000,20000,0,2.138769,1.271395,2.638,3.506,0.867,99.99
20000,20000,0,2.139969,1.272401,2.652,3.508,0.856,99.99
20000,20000,0,2.136685,1.271594,2.592,3.504,0.912,99.99
20000,20000,0,2.144106,1.268576,2.637,3.509,0.872,99.99
20000,20000,0,2.136384,1.269201,2.649,3.502,0.852,99.99
20000,20000,0,2.139190,1.266426,2.569,3.502,0.933,99.99
20000,20000,0,2.138842,1.265365,2.677,3.500,0.823,99.98
20000,20000,0,2.136548,1.274275,2.620,3.504,0.884,99.98
20000,20000,0,2.136799,1.274454,2.672,3.508,0.832,99.89
20000,20000,0,2.139222,1.267743,2.698,3.503,0.805,99.99
20000,20000,0,2.135221,1.277169,2.650,3.506,0.855,99.99
20000,20000,0,2.131787,1.274857,2.664,3.500,0.836,99.99
20000,20000,0,2.131896,1.270019,2.549,3.497,0.948,99.99
20000,20000,0,2.133264,1.276302,2.610,3.503,0.893,99.99
20000,20000,0,2.130632,1.276441,2.670,3.502,0.831,99.99
20000,20000,0,2.134946,1.268372,2.576,3.499,0.924,99.99
20000,20000,0,2.131460,1.274481,2.634,3.499,0.865,99.99
20000,20000,0,2.135712,1.266977,2.662,3.498,0.835,99.98
20000,20000,0,2.133395,1.275476,2.632,3.504,0.872,99.99
20000,20000,0,2.136929,1.274982,2.677,3.506,0.828,99.99
20000,20000,0,2.139702,1.270417,2.670,3.506,0.835,99.98
20000,20000,0,2.132986,1.272409,2.595,3.499,0.904,99.98
20000,20000,0,2.131839,1.269574,2.652,3.496,0.844,99.99
20000,20000,0,2.141979,1.268921,2.658,3.507,0.849,99.99
20000,20000,0,2.135959,1.273358,2.656,3.505,0.848,99.98
20000,20000,0,2.135324,1.271214,2.550,3.502,0.951,99.99
20000,20000,0,2.138790,1.270588,2.640,3.504,0.864,99.99
20000,20000,0,2.134775,1.270359,2.616,3.500,0.884,99.99
20000,20000,0,2.129727,1.275718,2.702,3.499,0.797,99.99
20000,20000,0,2.136910,1.269156,2.614,3.502,0.887,99.99
20000,20000,0,2.138499,1.271425,2.717,3.505,0.788,99.98
20000,20000,0,2.134735,1.273565,2.617,3.502,0.884,99.99
20000,20000,0,2.135643,1.270197,2.689,3.502,0.812,99.99
20000,20000,0,2.131971,1.274926,2.725,3.501,0.776,99.99
20000,20000,0,2.135068,1.271993,2.597,3.502,0.904,99.98
20000,20000,0,2.130780,1.271869,2.709,3.497,0.787,99.99
20000,20000,0,2.134400,1.270330,2.666,3.499,0.833,100.00
20000,20000,0,2.130253,1.270265,2.631,3.495,0.864,99.98
20000,20000,0,2.133096,1.273421,2.586,3.502,0.915,99.98
20000,20000,0,2.142038,1.268658,2.706,3.510,0.801,99.88
20000,20000,0,2.137485,1.272384,2.614,3.509,0.891,99.89
20000,20000,0,2.134654,1.272296,2.636,3.504,0.865,99.92
20000,20000,0,2.138577,1.275973,2.629,3.510,0.879,99.93
20000,20000,0,2.137764,1.277531,2.738,3.513,0.771,99.88
20000,20000,0,2.132831,1.273119,2.618,3.505,0.883,99.90
20000,20000,0,2.136231,1.272916,2.665,3.508,0.839,99.88
20000,20000,0,2.129424,1.274479,2.618,3.500,0.879,99.92
20000,20000,0,2.133649,1.272566,2.652,3.503,0.847,99.90
20000,20000,0,2.135422,1.269177,2.525,3.503,0.975,99.90
20000,20000,0,2.134694,1.273439,2.672,3.507,0.832,99.89
20000,20000,0,2.139565,1.267499,2.663,3.507,0.838,99.86
20000,20000,0,2.128252,1.272832,2.645,3.498,0.851,99.91
20000,20000,0,2.127969,1.273640,2.655,3.498,0.840,99.91
20000,20000,0,2.132193,1.276225,2.626,3.505,0.875,99.89
20000,20000,0,2.138781,1.266377,2.668,3.505,0.833,99.89
20000,20000,0,2.128051,1.275701,2.654,3.501,0.843,99.89
20000,20000,0,2.138158,1.288198,2.731,3.522,0.792,100.00
20000,20000,0,2.131638,1.270480,2.661,3.498,0.836,99.99
20000,20000,0,2.137230,1.279710,2.638,3.513,0.875,99.99
20000,20000,0,2.154369,1.285987,2.657,3.533,0.876,99.99
20000,20000,0,2.142881,1.281104,2.609,3.517,0.908,99.99
20000,20000,0,2.135563,1.271410,2.670,3.502,0.831,99.99
20000,20000,0,2.133703,1.273460,2.589,3.501,0.912,99.98
20000,20000,0,2.137790,1.276577,2.589,3.509,0.920,99.99
20000,20000,0,2.135348,1.272844,2.659,3.503,0.844,99.99
20000,20000,0,2.136638,1.276561,2.679,3.507,0.828,99.99
20000,20000,0,2.136203,1.274503,2.684,3.504,0.820,99.99
20000,20000,0,2.136230,1.271485,2.609,3.502,0.892,99.99
20000,20000,0,2.132681,1.275085,2.625,3.502,0.876,99.98
20000,20000,0,2.135653,1.273375,2.660,3.503,0.844,99.99
20000,20000,0,2.135673,1.276777,2.710,3.506,0.795,99.99
20000,20000,0,2.137759,1.267812,2.641,3.501,0.860,99.99
20000,20000,0,2.134458,1.272895,2.697,3.501,0.804,99.99
20000,20000,0,2.132615,1.275607,2.648,3.501,0.852,99.97
20000,20000,0,2.137741,1.276925,2.602,3.510,0.907,99.97
20000,20000,0,2.134634,1.279543,2.652,3.511,0.855,99.89
20000,20000,0,2.133958,1.274602,2.628,3.505,0.876,100.00
20000,20000,0,2.132887,1.270784,2.612,3.497,0.884,99.99
20000,20000,0,2.135369,1.271698,2.725,3.502,0.776,99.99
20000,20000,0,2.144450,1.267036,2.637,3.511,0.871,99.89
20000,20000,0,2.142274,1.269884,2.568,3.511,0.940,99.89
20000,20000,0,2.136251,1.271845,2.615,3.506,0.888,99.91
20000,20000,0,2.131497,1.273699,2.615,3.502,0.884,99.91
20000,20000,0,2.133948,1.275840,2.636,3.507,0.867,99.87
20000,20000,0,2.131884,1.272553,2.639,3.503,0.861,99.90
20000,20000,0,2.136205,1.272604,2.644,3.508,0.859,99.85
20000,20000,0,2.129650,1.276295,2.599,3.502,0.899,99.89
20000,20000,0,2.137491,1.271060,2.667,3.505,0.835,99.92
20000,20000,0,2.129302,1.276799,2.644,3.503,0.856,99.89
20000,20000,0,2.133734,1.266522,2.605,3.493,0.888,99.98
20000,20000,0,2.142357,1.272723,2.642,3.510,0.867,99.99
20000,20000,0,2.135451,1.266166,2.549,3.497,0.948,99.99
20000,20000,0,2.134551,1.272050,2.625,3.501,0.876,99.99
20000,20000,0,2.140584,1.275036,2.644,3.509,0.864,99.98
20000,20000,0,2.138164,1.280173,2.639,3.515,0.876,99.99
20000,20000,0,2.136665,1.269747,2.723,3.503,0.780,99.99
20000,20000,0,2.131031,1.272708,2.657,3.498,0.840,100.00
20000,20000,0,2.134236,1.271513,2.656,3.500,0.844,100.00
20000,20000,0,2.137343,1.276427,2.591,3.507,0.916,99.99
20000,20000,0,2.136992,1.275534,2.666,3.506,0.840,99.99
20000,20000,0,2.139387,1.272598,2.688,3.508,0.820,99.99
20000,20000,0,2.136200,1.273452,2.691,3.503,0.812,99.98
20000,20000,0,2.136332,1.272086,2.591,3.503,0.912,99.99
