A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
5000,5000,5000,2,0.041,129.680,0.000,129.721
5000,5000,5000,2,0.048,129.508,0.000,129.556
5000,5000,5000,2,0.048,130.120,0.000,130.169
5000,5000,5000,2,0.048,128.533,0.000,128.581
5000,5000,5000,2,0.048,128.833,0.000,128.881
5000,5000,5000,2,0.048,128.907,0.000,128.955
5000,5000,5000,2,0.048,127.833,0.000,127.881
5000,5000,5000,2,0.048,129.272,0.000,129.321
5000,5000,5000,2,0.048,128.633,0.000,128.681
5000,5000,5000,2,0.048,128.908,0.000,128.956
5000,5000,5000,2,0.048,128.229,0.000,128.277
5000,5000,5000,2,0.048,128.259,0.000,128.307
5000,5000,5000,2,0.048,128.291,0.000,128.339
5000,5000,5000,2,0.053,129.036,0.000,129.089
5000,5000,5000,2,0.048,128.231,0.000,128.279
