row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
8000,8000,1,0.185569,0.089202,0.136,0.291,0.155,100.01
8000,8000,1,0.185766,0.088623,0.153,0.290,0.137,100.01
8000,8000,1,0.180361,0.088564,0.136,0.285,0.148,100.00
8000,8000,1,0.180307,0.088616,0.162,0.285,0.122,100.01
8000,8000,1,0.180287,0.088533,0.140,0.285,0.145,100.01
8000,8000,1,0.182460,0.089212,0.156,0.288,0.132,100.01
8000,8000,1,0.182277,0.088534,0.158,0.287,0.129,100.01
8000,8000,1,0.180401,0.088586,0.165,0.285,0.120,100.01
8000,8000,1,0.180365,0.088534,0.143,0.285,0.142,100.01
8000,8000,1,0.180492,0.089153,0.145,0.286,0.141,100.01
8000,8000,1,0.184842,0.088603,0.161,0.289,0.128,100.01
8000,8000,1,0.180245,0.088598,0.148,0.285,0.136,100.01
8000,8000,1,0.180538,0.088671,0.158,0.285,0.127,100.00
8000,8000,1,0.180449,0.088554,0.161,0.285,0.124,100.01
8000,8000,1,0.180431,0.088587,0.165,0.285,0.120,100.01
8000,8000,1,0.182886,0.089205,0.128,0.289,0.160,99.92
8000,8000,1,0.182976,0.088594,0.136,0.287,0.152,100.01
8000,8000,1,0.180878,0.088398,0.137,0.285,0.148,100.01
8000,8000,1,0.180154,0.088599,0.145,0.285,0.140,100.01
8000,8000,1,0.182426,0.089206,0.120,0.288,0.168,100.00
8000,8000,1,0.181943,0.088556,0.131,0.286,0.155,100.01
8000,8000,1,0.180430,0.088617,0.161,0.285,0.124,100.01
8000,8000,1,0.180107,0.088605,0.161,0.285,0.124,100.01
8000,8000,1,0.180607,0.088959,0.145,0.286,0.141,99.99
8000,8000,1,0.183772,0.088977,0.152,0.288,0.136,100.01
8000,8000,1,0.180347,0.088544,0.136,0.285,0.148,100.01
8000,8000,1,0.180018,0.088541,0.144,0.284,0.140,100.01
8000,8000,1,0.180331,0.088558,0.140,0.285,0.144,100.01
8000,8000,1,0.182420,0.089221,0.156,0.288,0.132,100.01
8000,8000,1,0.182163,0.088680,0.144,0.287,0.143,100.01
8000,8000,1,0.179645,0.088911,0.132,0.284,0.152,100.01
8000,8000,1,0.180856,0.088908,0.153,0.285,0.133,100.01
8000,8000,1,0.180492,0.089224,0.143,0.286,0.143,100.01
8000,8000,1,0.184263,0.088551,0.125,0.289,0.164,100.01
8000,8000,1,0.179481,0.088537,0.140,0.284,0.144,100.01
8000,8000,1,0.180413,0.088472,0.157,0.285,0.128,100.01
8000,8000,1,0.180133,0.088575,0.156,0.285,0.128,99.89
8000,8000,1,0.181376,0.089281,0.140,0.287,0.148,100.01
