NPoints,K,NClusters,processes,elapsed
16384,4,0.008349,0.002860,,real	0m0.005s,user	0m0.012s,sys	0m0.000s
16384,4,0.007794,0.000912,,real	0m0.004s,user	0m0.009s,sys	0m0.000s
16384,4,0.008369,0.000853,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.008339,0.001924,,real	0m0.004s,user	0m0.011s,sys	0m0.000s
16384,4,0.007428,0.000858,,real	0m0.003s,user	0m0.009s,sys	0m0.000s
16384,4,0.007979,0.000875,,real	0m0.004s,user	0m0.006s,sys	0m0.003s
16384,4,0.008003,0.000866,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.007899,0.000850,,real	0m0.004s,user	0m0.009s,sys	0m0.000s
16384,4,0.008135,0.000830,,real	0m0.004s,user	0m0.003s,sys	0m0.006s
16384,4,0.008267,0.000885,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.007998,0.001164,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.009105,0.001027,,real	0m0.004s,user	0m0.011s,sys	0m0.000s
16384,4,0.008462,0.000911,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.007993,0.001391,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.009113,0.001026,,real	0m0.004s,user	0m0.000s,sys	0m0.011s
16384,4,0.008500,0.000884,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.007932,0.000874,,real	0m0.004s,user	0m0.009s,sys	0m0.000s
16384,4,0.007644,0.000860,,real	0m0.004s,user	0m0.003s,sys	0m0.006s
16384,4,0.007782,0.001121,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.007391,0.000856,,real	0m0.004s,user	0m0.009s,sys	0m0.000s
16384,4,0.008697,0.000964,,real	0m0.004s,user	0m0.005s,sys	0m0.005s
16384,4,0.008334,0.001104,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.009096,0.000877,,real	0m0.004s,user	0m0.011s,sys	0m0.000s
16384,4,0.008116,0.001229,,real	0m0.004s,user	0m0.010s,sys	0m0.000s
16384,4,0.007577,0.000912,,real	0m0.004s,user	0m0.009s,sys	0m0.000s
