NPoints,K,NClusters,processes,generate, classify, user, elapsed, sys, pCPU
65536,256,5,4,0.042152,0.006096,0.000,0.019,0.049,265.88
65536,256,5,4,0.045009,0.014913,0.041,0.019,0.020,315.63
65536,256,5,4,0.048920,0.005787,0.019,0.020,0.037,277.09
65536,256,5,4,0.044924,0.020309,0.048,0.020,0.019,328.94
65536,256,5,4,0.044080,0.005651,0.021,0.019,0.030,272.79
65536,256,5,4,0.044803,0.030492,0.055,0.021,0.022,364.19
65536,256,5,4,0.042136,0.011210,0.039,0.019,0.016,291.10
65536,256,5,4,0.046610,0.005680,0.014,0.020,0.040,270.19
65536,256,5,4,0.043789,0.021589,0.056,0.019,0.011,347.04
65536,256,5,4,0.042429,0.008203,0.045,0.018,0.007,282.50
65536,256,5,4,0.043997,0.005712,0.026,0.019,0.025,269.91
65536,256,5,4,0.049978,0.015548,0.056,0.020,0.011,332.71
65536,256,5,4,0.052094,0.005768,0.017,0.021,0.042,282.59
65536,256,5,4,0.045429,0.023427,0.059,0.019,0.012,360.76
65536,256,5,4,0.048475,0.025067,0.050,0.023,0.025,333.54
65536,256,5,4,0.045727,0.019760,0.045,0.021,0.022,319.92
65536,256,5,4,0.040296,0.005879,0.032,0.018,0.016,260.70
65536,256,5,4,0.048591,0.021128,0.061,0.020,0.010,352.86
65536,256,5,4,0.039975,0.014019,0.047,0.018,0.008,302.49
65536,256,5,4,0.046491,0.005429,0.027,0.019,0.027,276.12
65536,256,5,4,0.047934,0.027922,0.052,0.022,0.026,348.16
65536,256,5,4,0.047714,0.026939,0.044,0.021,0.033,366.88
65536,256,5,4,0.040464,0.014845,0.043,0.019,0.014,305.45
65536,256,5,4,0.056203,0.028096,0.054,0.024,0.032,351.81
65536,256,5,4,0.053499,0.018380,0.044,0.021,0.029,344.59
