NPoints,K,NClusters,processes,generate,classify,user,elapsed,sys,pCPU
65536,256,5,4,0.042801,0.005756,0.017,0.019,0.033,267.32
65536,256,5,4,0.047723,0.012523,0.051,0.020,0.010,311.97
65536,256,5,4,0.041954,0.008230,0.013,0.020,0.039,263.21
65536,256,5,4,0.049726,0.014388,0.038,0.021,0.028,318.29
65536,256,5,4,0.045699,0.005721,0.027,0.019,0.026,272.60
65536,256,5,4,0.047194,0.011851,0.043,0.022,0.017,271.53
65536,256,5,4,0.042816,0.005818,0.000,0.019,0.050,269.03
65536,256,5,4,0.045481,0.019044,0.056,0.020,0.009,332.46
65536,256,5,4,0.040607,0.010571,0.045,0.020,0.007,262.23
65536,256,5,4,0.045356,0.024183,0.059,0.019,0.012,368.58
65536,256,5,4,0.043504,0.015046,0.040,0.020,0.020,297.53
65536,256,5,4,0.042098,0.006034,0.025,0.019,0.025,262.14
65536,256,5,4,0.049324,0.012868,0.043,0.020,0.021,314.33
65536,256,5,4,0.070783,0.005637,0.020,0.030,0.058,255.64
65536,256,5,4,0.046716,0.022951,0.059,0.020,0.012,354.77
65536,256,5,4,0.052705,0.007098,0.042,0.022,0.041,368.24
65536,256,5,4,0.047802,0.012135,0.046,0.020,0.015,309.87
65536,256,5,4,0.043496,0.007787,0.032,0.021,0.021,251.67
65536,256,5,4,0.047601,0.027545,0.051,0.023,0.025,339.94
65536,256,5,4,0.042523,0.005401,0.000,0.018,0.049,275.35
65536,256,5,4,0.046108,0.015879,0.045,0.019,0.018,336.07
65536,256,5,4,0.050068,0.005536,0.012,0.021,0.045,277.94
65536,256,5,4,0.046743,0.025902,0.064,0.020,0.011,368.91
65536,256,5,4,0.043027,0.023486,0.049,0.021,0.019,323.70
65536,256,5,4,0.044941,0.023480,0.047,0.019,0.023,370.81
