NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
65536,512,16,2,0.000947,0.969301,0.969301,1.958,1.331,0.034,149.63
65536,512,16,2,0.000961,1.042774,1.042774,2.101,1.372,0.035,155.75
65536,512,16,2,0.000842,1.046931,1.046931,2.122,1.417,0.034,152.19
65536,512,16,2,0.002255,1.028901,1.028901,2.077,1.399,0.041,151.42
65536,512,16,2,0.000960,1.033968,1.033968,2.095,1.365,0.024,155.20
65536,512,16,2,0.000842,1.014420,1.014420,2.048,1.384,0.043,151.05
65536,512,16,2,0.002240,1.011638,1.011638,2.035,1.357,0.060,154.40
65536,512,16,2,0.000967,1.036902,1.036902,2.088,1.372,0.039,155.10
65536,512,16,2,0.000887,1.016435,1.016435,2.057,1.384,0.034,151.14
65536,512,16,2,0.000957,1.039537,1.039537,2.101,1.368,0.027,155.51
65536,512,16,2,0.000965,1.020956,1.020956,2.064,1.386,0.032,151.23
65536,512,16,2,0.000957,1.035917,1.035917,2.092,1.365,0.031,155.56
65536,512,16,2,0.000879,1.122464,1.122464,2.256,1.163,0.023,195.98
65536,512,16,2,0.000844,1.017700,1.017700,2.065,1.359,0.035,154.49
65536,512,16,2,0.002320,1.010458,1.010458,2.053,1.353,0.033,154.19
65536,512,16,2,0.001112,1.012337,1.012337,2.045,1.342,0.028,154.57
65536,512,16,2,0.000960,1.010448,1.010448,2.041,1.341,0.025,154.10
65536,512,16,2,0.002269,1.039580,1.039580,2.108,1.382,0.044,155.76
65536,512,16,2,0.001220,1.020675,1.020675,2.058,1.389,0.041,151.06
65536,512,16,2,0.000960,1.039063,1.039063,2.110,1.367,0.018,155.65
65536,512,16,2,0.000840,1.021880,1.021880,2.070,1.385,0.028,151.51
65536,512,16,2,0.000980,1.006235,1.006235,2.027,1.341,0.032,153.48
65536,512,16,2,0.002252,1.014042,1.014042,2.073,1.357,0.024,154.55
65536,512,16,2,0.002259,1.016632,1.016632,2.067,1.364,0.032,153.85
65536,512,16,2,0.002246,1.043058,1.043058,2.112,1.391,0.048,155.28
65536,512,16,2,0.000895,1.121053,1.121053,2.263,1.163,0.017,196.12
65536,512,16,2,0.002260,1.056224,1.056224,2.133,1.401,0.052,156.02
65536,512,16,2,0.000904,1.121347,1.121347,2.258,1.162,0.020,196.07
65536,512,16,2,0.002265,1.036597,1.036597,2.115,1.381,0.032,155.43
65536,512,16,2,0.000876,1.111817,1.111817,2.249,1.152,0.012,196.21
65536,512,16,2,0.002263,1.051134,1.051134,2.147,1.393,0.028,156.15
65536,512,16,2,0.001007,1.025177,1.025177,2.077,1.390,0.032,151.71
65536,512,16,2,0.002258,1.048325,1.048325,2.122,1.390,0.048,156.15
65536,512,16,2,0.000890,1.122427,1.122427,2.251,1.163,0.021,195.35
65536,512,16,2,0.002250,1.012438,1.012438,2.039,1.360,0.055,154.00
65536,512,16,2,0.002285,1.009780,1.009780,2.049,1.353,0.040,154.40
65536,512,16,2,0.002291,1.042501,1.042501,2.113,1.388,0.044,155.47
65536,512,16,2,0.001359,1.022758,1.022758,2.068,1.388,0.032,151.25
65536,512,16,2,0.002287,1.039797,1.039797,2.113,1.384,0.040,155.64
65536,512,16,2,0.000891,1.117213,1.117213,2.257,1.158,0.012,195.97
65536,512,16,2,0.000960,1.041135,1.041135,2.100,1.373,0.032,155.30
65536,512,16,2,0.000899,1.112664,1.112664,2.245,1.153,0.011,195.74
65536,512,16,2,0.000964,1.045155,1.045155,2.106,1.382,0.037,155.02
65536,512,16,2,0.000898,1.120022,1.120022,2.258,1.160,0.015,196.02
65536,512,16,2,0.000957,1.043507,1.043507,2.102,1.373,0.036,155.76
65536,512,16,2,0.002249,1.026172,1.026172,2.084,1.393,0.028,151.64
65536,512,16,2,0.002237,1.036686,1.036686,2.101,1.380,0.046,155.59
65536,512,16,2,0.000901,1.058479,1.058479,2.150,1.426,0.026,152.69
65536,512,16,2,0.001124,1.013068,1.013068,2.030,1.344,0.040,154.03
65536,512,16,2,0.001004,1.008077,1.008077,2.028,1.343,0.036,153.66
65536,512,16,2,0.002285,1.014021,1.014021,2.051,1.356,0.042,154.46
65536,512,16,2,0.002234,1.013914,1.013914,2.070,1.358,0.028,154.52
65536,512,16,2,0.002277,1.007430,1.007430,2.034,1.351,0.048,154.08
65536,512,16,2,0.002272,1.015233,1.015233,2.062,1.360,0.035,154.15
65536,512,16,2,0.002278,1.011028,1.011028,2.050,1.355,0.040,154.27
65536,512,16,2,0.002241,1.036409,1.036409,2.094,1.381,0.052,155.37
65536,512,16,2,0.000893,1.119252,1.119252,2.256,1.159,0.018,196.16
65536,512,16,2,0.002254,1.021945,1.021945,2.075,1.363,0.036,154.84
65536,512,16,2,0.002268,1.038744,1.038744,2.098,1.381,0.052,155.67
65536,512,16,2,0.000844,1.026656,1.026656,2.061,1.380,0.051,153.11
65536,512,16,2,0.000960,1.033278,1.033278,2.090,1.364,0.026,155.12
65536,512,16,2,0.000893,1.122532,1.122532,2.256,1.163,0.022,195.98
65536,512,16,2,0.001077,1.023492,1.023492,2.055,1.354,0.037,154.52
65536,512,16,2,0.000957,1.009036,1.009036,2.024,1.344,0.040,153.50
65536,512,16,2,0.003477,1.055130,1.055130,2.149,1.405,0.047,156.27
65536,512,16,2,0.000892,1.116554,1.116554,2.249,1.159,0.019,195.67
65536,512,16,2,0.000962,1.026978,1.026978,2.071,1.355,0.027,154.84
65536,512,16,2,0.002292,1.041454,1.041454,2.121,1.387,0.036,155.54
65536,512,16,2,0.002313,1.055768,1.055768,2.144,1.405,0.036,155.26
65536,512,16,2,0.001178,1.047690,1.047690,2.123,1.421,0.035,151.90
65536,512,16,2,0.000883,1.121033,1.121033,2.265,1.160,0.013,196.24
65536,512,16,2,0.002269,1.051367,1.051367,2.133,1.401,0.044,155.45
65536,512,16,2,0.000844,1.019876,1.019876,2.062,1.388,0.036,151.15
65536,512,16,2,0.002334,1.041717,1.041717,2.114,1.385,0.044,155.84
65536,512,16,2,0.000853,1.042496,1.042496,2.106,1.409,0.039,152.23
65536,512,16,2,0.000904,1.121345,1.121345,2.264,1.162,0.012,195.83
65536,512,16,2,0.002337,1.042152,1.042152,2.109,1.387,0.048,155.60
65536,512,16,2,0.000844,1.016104,1.016104,2.040,1.386,0.051,150.92
65536,512,16,2,0.002256,1.040455,1.040455,2.102,1.383,0.052,155.78
65536,512,16,2,0.000890,1.116069,1.116069,2.252,1.160,0.023,196.15
65536,512,16,2,0.001116,1.050973,1.050973,2.116,1.380,0.037,155.97
65536,512,16,2,0.000901,1.114018,1.114018,2.245,1.156,0.016,195.56
65536,512,16,2,0.002241,1.016953,1.016953,2.064,1.361,0.046,154.99
65536,512,16,2,0.003120,1.026019,1.026019,2.083,1.373,0.053,155.51
65536,512,16,2,0.002257,1.011227,1.011227,2.048,1.355,0.040,154.11
65536,512,16,2,0.002259,1.033702,1.033702,2.095,1.379,0.048,155.43
65536,512,16,2,0.001296,1.040478,1.040478,2.109,1.407,0.032,152.21
65536,512,16,2,0.000878,1.117239,1.117239,2.239,1.163,0.024,194.58
65536,512,16,2,0.002245,1.011247,1.011247,2.037,1.361,0.056,153.74
65536,512,16,2,0.000962,1.009666,1.009666,2.034,1.341,0.032,154.15
65536,512,16,2,0.003470,1.018949,1.018949,2.071,1.368,0.048,154.94
65536,512,16,2,0.003456,1.037651,1.037651,2.106,1.386,0.055,155.98
65536,512,16,2,0.000892,1.121983,1.121983,2.264,1.163,0.015,196.05
65536,512,16,2,0.000962,1.038695,1.038695,2.111,1.370,0.016,155.30
65536,512,16,2,0.000893,1.109130,1.109130,2.234,1.151,0.019,195.71
65536,512,16,2,0.002253,1.050561,1.050561,2.136,1.396,0.040,155.89
65536,512,16,2,0.000898,1.111313,1.111313,2.242,1.153,0.016,195.85
65536,512,16,2,0.002253,1.052243,1.052243,2.140,1.395,0.039,156.13
65536,512,16,2,0.001030,1.013664,1.013664,2.048,1.381,0.036,150.90
65536,512,16,2,0.002272,1.037021,1.037021,2.106,1.381,0.040,155.38
