NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
1048576,1024,10,0,0.015623,0.327599,0.327599,0.337,0.344,0.008,100.01
1048576,1024,10,0,0.011167,0.313834,0.313834,0.326,0.326,0.000,100.01
1048576,1024,10,0,0.011236,0.313494,0.313494,0.326,0.326,0.000,100.01
1048576,1024,10,0,0.011153,0.312882,0.312882,0.325,0.325,0.000,100.01
1048576,1024,10,0,0.011166,0.307508,0.307508,0.320,0.320,0.000,100.01
1048576,1024,10,0,0.011239,0.306482,0.306482,0.319,0.319,0.000,100.01
1048576,1024,10,0,0.011224,0.307496,0.307496,0.316,0.320,0.004,100.01
1048576,1024,10,0,0.011255,0.312029,0.312029,0.324,0.324,0.000,100.01
1048576,1024,10,0,0.011211,0.311888,0.311888,0.316,0.324,0.008,100.01
1048576,1024,10,0,0.011172,0.312444,0.312444,0.324,0.325,0.000,100.00
